Episode 0, Total Reward: 59.100154876708984
Episode 1, Total Reward: 9.84000301361084
Episode 2, Total Reward: 66.95008850097656
Episode 3, Total Reward: 17.580007553100586
Episode 4, Total Reward: 9.710000038146973
Episode 5, Total Reward: 15.770015716552734
Episode 6, Total Reward: 8.250006675720215
Episode 7, Total Reward: 10.150004386901855
Episode 8, Total Reward: 9.649999618530273
Episode 9, Total Reward: 7.599998474121094
