
Starting run: sweep-lr0.0001-decay0.995-hidden64-batch64-gamma0.99
Network warmed up!
C:\Users\matt\miniconda3\envs\trackmania\lib\site-packages\rtgym\envs\real_time_env.py:261: UserWarning: Time-step timed out. Elapsed since last time-step: 0.16548079998847243
  warnings.warn(f"Time-step timed out. Elapsed since last time-step: {now - self.__t_end}")
Episode 79 | Reward: 18.16 | Avg: 19.52 | Epsilon: 0.670
Episode 80 | Reward: 8.92 | Avg: 19.51 | Epsilon: 0.666
Episode 81 | Reward: 9.54 | Avg: 19.24 | Epsilon: 0.663
Episode 82 | Reward: 15.68 | Avg: 19.37 | Epsilon: 0.660
Episode 83 | Reward: 19.39 | Avg: 18.60 | Epsilon: 0.656
Episode 84 | Reward: 16.53 | Avg: 18.73 | Epsilon: 0.653
Episode 85 | Reward: 10.10 | Avg: 18.72 | Epsilon: 0.650
Episode 86 | Reward: 10.89 | Avg: 18.60 | Epsilon: 0.647
Episode 87 | Reward: 2.12 | Avg: 18.32 | Epsilon: 0.643
Episode 88 | Reward: 23.26 | Avg: 18.43 | Epsilon: 0.640
Episode 89 | Reward: 7.42 | Avg: 18.40 | Epsilon: 0.637
Episode 90 | Reward: 59.38 | Avg: 18.22 | Epsilon: 0.634
Episode 91 | Reward: 15.38 | Avg: 18.18 | Epsilon: 0.631
Episode 92 | Reward: 16.47 | Avg: 18.30 | Epsilon: 0.627
Episode 93 | Reward: 9.83 | Avg: 18.14 | Epsilon: 0.624
Episode 94 | Reward: 8.42 | Avg: 18.10 | Epsilon: 0.621
Episode 95 | Reward: 23.66 | Avg: 17.69 | Epsilon: 0.618
Episode 96 | Reward: 14.58 | Avg: 17.78 | Epsilon: 0.615
Episode 97 | Reward: 10.85 | Avg: 17.79 | Epsilon: 0.612
Episode 98 | Reward: 8.91 | Avg: 17.77 | Epsilon: 0.609
Episode 99 | Reward: 10.28 | Avg: 17.78 | Epsilon: 0.606
Episode 100 | Reward: 49.79 | Avg: 18.58 | Epsilon: 0.603
Episode 101 | Reward: 10.54 | Avg: 18.61 | Epsilon: 0.600
Episode 102 | Reward: 8.63 | Avg: 18.43 | Epsilon: 0.597
Episode 103 | Reward: 10.14 | Avg: 17.88 | Epsilon: 0.594
Episode 104 | Reward: 8.55 | Avg: 17.75 | Epsilon: 0.591
Episode 105 | Reward: 67.61 | Avg: 18.91 | Epsilon: 0.588
Episode 106 | Reward: 9.34 | Avg: 18.78 | Epsilon: 0.585
Episode 107 | Reward: 14.92 | Avg: 18.88 | Epsilon: 0.582
Episode 108 | Reward: 10.22 | Avg: 18.88 | Epsilon: 0.579
Episode 109 | Reward: 15.96 | Avg: 18.99 | Epsilon: 0.576
Episode 110 | Reward: 10.27 | Avg: 18.37 | Epsilon: 0.573
Episode 111 | Reward: 22.37 | Avg: 18.51 | Epsilon: 0.570
Episode 112 | Reward: 11.17 | Avg: 18.25 | Epsilon: 0.568
Episode 113 | Reward: 16.68 | Avg: 18.40 | Epsilon: 0.565
Episode 114 | Reward: 9.28 | Avg: 17.54 | Epsilon: 0.562
Episode 115 | Reward: 16.72 | Avg: 17.80 | Epsilon: 0.559
Episode 116 | Reward: 15.98 | Avg: 17.64 | Epsilon: 0.556
Episode 117 | Reward: 16.80 | Avg: 17.82 | Epsilon: 0.554
Episode 118 | Reward: 10.45 | Avg: 17.71 | Epsilon: 0.551
Episode 119 | Reward: 10.06 | Avg: 17.57 | Epsilon: 0.548
Episode 120 | Reward: 8.10 | Avg: 17.40 | Epsilon: 0.545
Episode 121 | Reward: 70.35 | Avg: 18.61 | Epsilon: 0.543
Episode 122 | Reward: 57.80 | Avg: 19.56 | Epsilon: 0.540
Episode 123 | Reward: 15.71 | Avg: 19.55 | Epsilon: 0.537
Episode 124 | Reward: 26.38 | Avg: 18.71 | Epsilon: 0.534
Episode 125 | Reward: 9.54 | Avg: 18.70 | Epsilon: 0.532
Episode 126 | Reward: 0.00 | Avg: 18.23 | Epsilon: 0.529
Episode 127 | Reward: 10.58 | Avg: 17.59 | Epsilon: 0.526
Episode 128 | Reward: 9.61 | Avg: 17.47 | Epsilon: 0.524
Episode 129 | Reward: 16.58 | Avg: 17.43 | Epsilon: 0.521
Episode 130 | Reward: 5.97 | Avg: 17.38 | Epsilon: 0.519
Episode 131 | Reward: 59.76 | Avg: 18.38 | Epsilon: 0.516
Episode 132 | Reward: 8.32 | Avg: 18.23 | Epsilon: 0.513
Episode 133 | Reward: 8.04 | Avg: 18.01 | Epsilon: 0.511
Episode 134 | Reward: 5.05 | Avg: 17.78 | Epsilon: 0.508
