
Starting run: p3-['4_brake']
Network warmed up!
Episode 31 | Reward: -10.92 | Avg: -18.03 | Epsilon: 0.852 | Steps: 210 | Loss: 316.8968 | Q: 8.3773 | Actions: ['0.22', '0.29', '0.20', '0.30']
Episode 32 | Reward: -12.37 | Avg: -17.86 | Epsilon: 0.848 | Steps: 327 | Loss: 287.2702 | Q: 8.4542 | Actions: ['0.21', '0.28', '0.24', '0.26']
Episode 33 | Reward: -16.88 | Avg: -17.83 | Epsilon: 0.843 | Steps: 358 | Loss: 278.4951 | Q: 9.0348 | Actions: ['0.20', '0.29', '0.20', '0.30']
Episode 34 | Reward: 10.80 | Avg: -17.01 | Epsilon: 0.839 | Steps: 944 | Loss: 257.2734 | Q: 10.8552 | Actions: ['0.29', '0.29', '0.19', '0.23']
Episode 35 | Reward: 12.10 | Avg: -16.20 | Epsilon: 0.835 | Steps: 931 | Loss: 200.8104 | Q: 12.9880 | Actions: ['0.27', '0.32', '0.19', '0.23']
Episode 36 | Reward: -9.70 | Avg: -16.03 | Epsilon: 0.831 | Steps: 275 | Loss: 166.5870 | Q: 14.3756 | Actions: ['0.29', '0.29', '0.18', '0.24']
Episode 37 | Reward: -22.25 | Avg: -16.19 | Epsilon: 0.827 | Steps: 408 | Loss: 213.9323 | Q: 13.6115 | Actions: ['0.25', '0.27', '0.17', '0.30']
Episode 38 | Reward: -29.81 | Avg: -16.54 | Epsilon: 0.822 | Steps: 755 | Loss: 177.8154 | Q: 14.6959 | Actions: ['0.32', '0.21', '0.21', '0.26']
Episode 39 | Reward: -35.65 | Avg: -17.02 | Epsilon: 0.818 | Steps: 808 | Loss: 161.4935 | Q: 15.4406 | Actions: ['0.28', '0.29', '0.22', '0.21']
Episode 40 | Reward: 4.40 | Avg: -16.49 | Epsilon: 0.814 | Steps: 1008 | Loss: 173.1355 | Q: 15.0812 | Actions: ['0.30', '0.23', '0.21', '0.27']
Episode 41 | Reward: -35.53 | Avg: -16.95 | Epsilon: 0.810 | Steps: 544 | Loss: 149.5313 | Q: 14.9110 | Actions: ['0.22', '0.22', '0.22', '0.33']
Episode 42 | Reward: -5.33 | Avg: -16.68 | Epsilon: 0.806 | Steps: 166 | Loss: 115.7343 | Q: 17.4158 | Actions: ['0.23', '0.33', '0.22', '0.21']
Episode 43 | Reward: -6.23 | Avg: -16.44 | Epsilon: 0.802 | Steps: 106 | Loss: 103.7807 | Q: 17.3068 | Actions: ['0.33', '0.25', '0.22', '0.21']
Episode 44 | Reward: -14.84 | Avg: -16.40 | Epsilon: 0.798 | Steps: 328 | Loss: 120.6991 | Q: 18.1483 | Actions: ['0.29', '0.27', '0.21', '0.23']
Episode 45 | Reward: -19.52 | Avg: -16.47 | Epsilon: 0.794 | Steps: 379 | Loss: 94.8924 | Q: 19.4158 | Actions: ['0.31', '0.27', '0.19', '0.24']
Episode 46 | Reward: -3.74 | Avg: -16.20 | Epsilon: 0.790 | Steps: 123 | Loss: 134.4160 | Q: 20.6940 | Actions: ['0.24', '0.28', '0.34', '0.14']
Episode 47 | Reward: -4.49 | Avg: -15.96 | Epsilon: 0.786 | Steps: 98 | Loss: 91.7586 | Q: 20.1552 | Actions: ['0.24', '0.26', '0.31', '0.19']
Episode 48 | Reward: -18.03 | Avg: -16.00 | Epsilon: 0.782 | Steps: 375 | Loss: 93.3718 | Q: 19.8014 | Actions: ['0.33', '0.23', '0.24', '0.21']
Episode 49 | Reward: -5.64 | Avg: -15.79 | Epsilon: 0.778 | Steps: 155 | Loss: 97.1281 | Q: 20.1108 | Actions: ['0.25', '0.26', '0.26', '0.23']
Episode 50 | Reward: -8.42 | Avg: -15.64 | Epsilon: 0.774 | Steps: 186 | Loss: 85.7763 | Q: 19.6132 | Actions: ['0.22', '0.38', '0.20', '0.20']
Episode 51 | Reward: -6.96 | Avg: -15.32 | Epsilon: 0.771 | Steps: 179 | Loss: 101.9919 | Q: 19.8053 | Actions: ['0.24', '0.26', '0.28', '0.22']
Episode 52 | Reward: -30.83 | Avg: -15.55 | Epsilon: 0.767 | Steps: 750 | Loss: 108.1749 | Q: 21.0416 | Actions: ['0.29', '0.20', '0.26', '0.25']
Episode 53 | Reward: -8.95 | Avg: -15.61 | Epsilon: 0.763 | Steps: 218 | Loss: 93.6522 | Q: 21.9316 | Actions: ['0.24', '0.32', '0.19', '0.25']
Episode 54 | Reward: -4.30 | Avg: -15.19 | Epsilon: 0.759 | Steps: 141 | Loss: 104.0393 | Q: 20.6326 | Actions: ['0.26', '0.30', '0.28', '0.16']
Episode 55 | Reward: -43.76 | Avg: -15.73 | Epsilon: 0.755 | Steps: 904 | Loss: 99.8527 | Q: 24.0445 | Actions: ['0.28', '0.24', '0.22', '0.25']
Episode 56 | Reward: -4.63 | Avg: -15.36 | Epsilon: 0.751 | Steps: 117 | Loss: 73.9112 | Q: 27.0218 | Actions: ['0.23', '0.29', '0.25', '0.23']
Episode 57 | Reward: -13.43 | Avg: -15.82 | Epsilon: 0.748 | Steps: 320 | Loss: 71.3532 | Q: 24.4166 | Actions: ['0.31', '0.26', '0.24', '0.19']
Episode 58 | Reward: -60.44 | Avg: -16.46 | Epsilon: 0.744 | Steps: 1057 | Loss: 77.2575 | Q: 25.2529 | Actions: ['0.22', '0.23', '0.25', '0.30']
Episode 59 | Reward: -49.29 | Avg: -17.27 | Epsilon: 0.740 | Steps: 925 | Loss: 68.8713 | Q: 25.2005 | Actions: ['0.26', '0.24', '0.23', '0.27']
Episode 60 | Reward: -30.88 | Avg: -17.43 | Epsilon: 0.737 | Steps: 764 | Loss: 71.8790 | Q: 25.6793 | Actions: ['0.24', '0.28', '0.22', '0.26']
Episode 61 | Reward: -18.65 | Avg: -17.32 | Epsilon: 0.733 | Steps: 376 | Loss: 96.8606 | Q: 26.2913 | Actions: ['0.29', '0.24', '0.21', '0.27']
Episode 62 | Reward: -4.52 | Avg: -16.99 | Epsilon: 0.729 | Steps: 176 | Loss: 79.9256 | Q: 27.5241 | Actions: ['0.31', '0.31', '0.18', '0.20']
Episode 63 | Reward: -3.52 | Avg: -16.88 | Epsilon: 0.726 | Steps: 141 | Loss: 69.9327 | Q: 27.8192 | Actions: ['0.32', '0.24', '0.21', '0.23']
Episode 64 | Reward: -8.42 | Avg: -16.61 | Epsilon: 0.722 | Steps: 182 | Loss: 65.8757 | Q: 28.3996 | Actions: ['0.30', '0.31', '0.23', '0.16']
Episode 65 | Reward: -27.07 | Avg: -16.24 | Epsilon: 0.718 | Steps: 521 | Loss: 57.3067 | Q: 28.2012 | Actions: ['0.32', '0.22', '0.23', '0.23']
Episode 66 | Reward: -35.52 | Avg: -16.52 | Epsilon: 0.715 | Steps: 522 | Loss: 58.1894 | Q: 28.8221 | Actions: ['0.24', '0.25', '0.18', '0.33']
Episode 67 | Reward: -3.97 | Avg: -16.40 | Epsilon: 0.711 | Steps: 95 | Loss: 64.3799 | Q: 29.7118 | Actions: ['0.36', '0.21', '0.27', '0.16']
Episode 68 | Reward: -4.88 | Avg: -16.71 | Epsilon: 0.708 | Steps: 165 | Loss: 57.9565 | Q: 29.3348 | Actions: ['0.24', '0.22', '0.28', '0.25']
Episode 69 | Reward: -17.87 | Avg: -16.61 | Epsilon: 0.704 | Steps: 374 | Loss: 58.8320 | Q: 29.7793 | Actions: ['0.27', '0.26', '0.23', '0.24']
Episode 70 | Reward: -4.94 | Avg: -16.17 | Epsilon: 0.701 | Steps: 121 | Loss: 41.6479 | Q: 29.4787 | Actions: ['0.21', '0.26', '0.30', '0.22']
Episode 71 | Reward: -26.64 | Avg: -16.48 | Epsilon: 0.697 | Steps: 384 | Loss: 66.4536 | Q: 29.5374 | Actions: ['0.21', '0.22', '0.21', '0.36']
Episode 72 | Reward: -15.56 | Avg: -16.24 | Epsilon: 0.694 | Steps: 347 | Loss: 70.1952 | Q: 30.4286 | Actions: ['0.26', '0.26', '0.23', '0.25']
Episode 73 | Reward: -15.39 | Avg: -15.98 | Epsilon: 0.690 | Steps: 342 | Loss: 56.3174 | Q: 31.9386 | Actions: ['0.33', '0.25', '0.20', '0.21']
Episode 74 | Reward: -1.57 | Avg: -15.66 | Epsilon: 0.687 | Steps: 154 | Loss: 85.5553 | Q: 31.2880 | Actions: ['0.26', '0.29', '0.27', '0.19']
Episode 75 | Reward: -17.28 | Avg: -15.58 | Epsilon: 0.683 | Steps: 359 | Loss: 47.8915 | Q: 31.1934 | Actions: ['0.31', '0.23', '0.25', '0.21']
Episode 76 | Reward: -4.81 | Avg: -15.35 | Epsilon: 0.680 | Steps: 111 | Loss: 39.2161 | Q: 31.1779 | Actions: ['0.31', '0.23', '0.28', '0.18']
Episode 77 | Reward: -11.39 | Avg: -15.31 | Epsilon: 0.676 | Steps: 196 | Loss: 44.1354 | Q: 31.5816 | Actions: ['0.26', '0.22', '0.25', '0.27']
Episode 78 | Reward: -14.69 | Avg: -15.02 | Epsilon: 0.673 | Steps: 283 | Loss: 42.8742 | Q: 30.9564 | Actions: ['0.21', '0.27', '0.24', '0.29']
Episode 79 | Reward: -20.38 | Avg: -15.32 | Epsilon: 0.670 | Steps: 388 | Loss: 44.3560 | Q: 32.0281 | Actions: ['0.31', '0.24', '0.23', '0.21']
Episode 80 | Reward: -8.00 | Avg: -15.01 | Epsilon: 0.666 | Steps: 105 | Loss: 60.9797 | Q: 30.3427 | Actions: ['0.21', '0.18', '0.32', '0.29']
Episode 81 | Reward: -36.66 | Avg: -15.53 | Epsilon: 0.663 | Steps: 553 | Loss: 62.1037 | Q: 32.3151 | Actions: ['0.24', '0.21', '0.22', '0.33']
Episode 82 | Reward: -37.73 | Avg: -16.03 | Epsilon: 0.660 | Steps: 494 | Loss: 45.2858 | Q: 33.6310 | Actions: ['0.20', '0.20', '0.23', '0.37']
Episode 83 | Reward: -4.66 | Avg: -15.79 | Epsilon: 0.656 | Steps: 106 | Loss: 35.3368 | Q: 35.0812 | Actions: ['0.23', '0.25', '0.25', '0.27']
Episode 84 | Reward: -33.38 | Avg: -16.67 | Epsilon: 0.653 | Steps: 592 | Loss: 50.0357 | Q: 34.8411 | Actions: ['0.30', '0.19', '0.26', '0.25']
Episode 85 | Reward: -4.71 | Avg: -17.01 | Epsilon: 0.650 | Steps: 135 | Loss: 65.2240 | Q: 33.5681 | Actions: ['0.17', '0.24', '0.37', '0.22']
Episode 86 | Reward: -18.79 | Avg: -17.19 | Epsilon: 0.647 | Steps: 283 | Loss: 41.1438 | Q: 33.7594 | Actions: ['0.20', '0.21', '0.22', '0.36']
Episode 87 | Reward: -28.69 | Avg: -17.32 | Epsilon: 0.643 | Steps: 540 | Loss: 52.3684 | Q: 35.1544 | Actions: ['0.28', '0.20', '0.28', '0.24']
Episode 88 | Reward: -32.84 | Avg: -17.38 | Epsilon: 0.640 | Steps: 839 | Loss: 45.4324 | Q: 34.5033 | Actions: ['0.27', '0.33', '0.21', '0.20']
Episode 89 | Reward: -40.11 | Avg: -17.47 | Epsilon: 0.637 | Steps: 597 | Loss: 41.3978 | Q: 35.8849 | Actions: ['0.22', '0.23', '0.24', '0.31']
Episode 90 | Reward: -6.56 | Avg: -17.69 | Epsilon: 0.634 | Steps: 145 | Loss: 41.2604 | Q: 33.8852 | Actions: ['0.23', '0.28', '0.34', '0.16']
Episode 91 | Reward: -17.82 | Avg: -17.33 | Epsilon: 0.631 | Steps: 277 | Loss: 56.5839 | Q: 35.1217 | Actions: ['0.24', '0.19', '0.21', '0.36']
Episode 92 | Reward: -31.64 | Avg: -17.86 | Epsilon: 0.627 | Steps: 551 | Loss: 42.0874 | Q: 35.7304 | Actions: ['0.27', '0.21', '0.24', '0.28']
C:\Users\matt\miniconda3\envs\trackmania\lib\site-packages\rtgym\envs\real_time_env.py:261: UserWarning: Time-step timed out. Elapsed since last time-step: 0.10994299949379638
  warnings.warn(f"Time-step timed out. Elapsed since last time-step: {now - self.__t_end}")
Episode 93 | Reward: -20.12 | Avg: -18.14 | Epsilon: 0.624 | Steps: 310 | Loss: 51.6793 | Q: 36.8176 | Actions: ['0.22', '0.27', '0.24', '0.26']
Episode 94 | Reward: -15.91 | Avg: -18.16 | Epsilon: 0.621 | Steps: 382 | Loss: 44.2577 | Q: 36.9820 | Actions: ['0.32', '0.19', '0.28', '0.20']
Episode 95 | Reward: -8.44 | Avg: -17.94 | Epsilon: 0.618 | Steps: 150 | Loss: 29.9582 | Q: 36.7869 | Actions: ['0.19', '0.28', '0.35', '0.19']
Episode 96 | Reward: -4.06 | Avg: -17.94 | Epsilon: 0.615 | Steps: 81 | Loss: 25.3113 | Q: 37.1801 | Actions: ['0.22', '0.25', '0.33', '0.20']
Episode 97 | Reward: -26.01 | Avg: -18.38 | Epsilon: 0.612 | Steps: 326 | Loss: 27.5069 | Q: 37.1857 | Actions: ['0.17', '0.19', '0.24', '0.41']
Episode 98 | Reward: -44.96 | Avg: -18.91 | Epsilon: 0.609 | Steps: 903 | Loss: 46.5756 | Q: 36.8014 | Actions: ['0.22', '0.26', '0.25', '0.27']
Episode 99 | Reward: -35.08 | Avg: -19.50 | Epsilon: 0.606 | Steps: 795 | Loss: 30.8068 | Q: 37.2373 | Actions: ['0.30', '0.26', '0.24', '0.21']
Episode 100 | Reward: -13.64 | Avg: -19.61 | Epsilon: 0.603 | Steps: 313 | Loss: 39.9191 | Q: 35.8871 | Actions: ['0.28', '0.27', '0.23', '0.22']
Episode 101 | Reward: -18.48 | Avg: -19.84 | Epsilon: 0.600 | Steps: 371 | Loss: 37.7020 | Q: 36.8995 | Actions: ['0.26', '0.27', '0.27', '0.20']
