
Starting run: sweep-lr1e-05-decay0.999-hidden128-batch16-gamma0.999
C:\Users\matt\miniconda3\envs\trackmania\lib\site-packages\rtgym\envs\real_time_env.py:261: UserWarning: Time-step timed out. Elapsed since last time-step: 0.1306716999533819
  warnings.warn(f"Time-step timed out. Elapsed since last time-step: {now - self.__t_end}")
C:\Users\matt\miniconda3\envs\trackmania\lib\site-packages\rtgym\envs\real_time_env.py:261: UserWarning: Time-step timed out. Elapsed since last time-step: 0.4868458997370908
  warnings.warn(f"Time-step timed out. Elapsed since last time-step: {now - self.__t_end}")
Episode 78 | Reward: 17.48 | Avg: 16.12 | Epsilon: 0.924
Episode 79 | Reward: 16.13 | Avg: 16.24 | Epsilon: 0.923
Episode 80 | Reward: 23.82 | Avg: 16.52 | Epsilon: 0.922
Episode 81 | Reward: 10.03 | Avg: 16.53 | Epsilon: 0.921
Episode 82 | Reward: 10.38 | Avg: 16.52 | Epsilon: 0.920
Episode 83 | Reward: 9.63 | Avg: 16.37 | Epsilon: 0.919
Episode 84 | Reward: 11.01 | Avg: 16.07 | Epsilon: 0.918
Episode 85 | Reward: 25.25 | Avg: 16.37 | Epsilon: 0.918
Episode 86 | Reward: 10.73 | Avg: 16.40 | Epsilon: 0.917
C:\Users\matt\miniconda3\envs\trackmania\lib\site-packages\rtgym\envs\real_time_env.py:261: UserWarning: Time-step timed out. Elapsed since last time-step: 0.3918201996420976
  warnings.warn(f"Time-step timed out. Elapsed since last time-step: {now - self.__t_end}")
C:\Users\matt\miniconda3\envs\trackmania\lib\site-packages\rtgym\envs\real_time_env.py:261: UserWarning: Time-step timed out. Elapsed since last time-step: 0.4190290999977151
  warnings.warn(f"Time-step timed out. Elapsed since last time-step: {now - self.__t_end}")
C:\Users\matt\miniconda3\envs\trackmania\lib\site-packages\rtgym\envs\real_time_env.py:261: UserWarning: Time-step timed out. Elapsed since last time-step: 0.27435739998327335
  warnings.warn(f"Time-step timed out. Elapsed since last time-step: {now - self.__t_end}")
C:\Users\matt\miniconda3\envs\trackmania\lib\site-packages\rtgym\envs\real_time_env.py:261: UserWarning: Time-step timed out. Elapsed since last time-step: 0.0795328000021982
  warnings.warn(f"Time-step timed out. Elapsed since last time-step: {now - self.__t_end}")
Episode 87 | Reward: 9.41 | Avg: 16.09 | Epsilon: 0.916
Episode 88 | Reward: 10.34 | Avg: 16.09 | Epsilon: 0.915
Episode 89 | Reward: 59.20 | Avg: 16.75 | Epsilon: 0.914
Episode 90 | Reward: 9.16 | Avg: 16.75 | Epsilon: 0.913
Episode 91 | Reward: 10.41 | Avg: 16.63 | Epsilon: 0.912
Episode 92 | Reward: 15.75 | Avg: 16.44 | Epsilon: 0.911
Episode 93 | Reward: 10.19 | Avg: 16.32 | Epsilon: 0.910
Episode 94 | Reward: 10.88 | Avg: 16.22 | Epsilon: 0.909
Episode 95 | Reward: 18.76 | Avg: 16.41 | Epsilon: 0.908
Episode 96 | Reward: 16.35 | Avg: 16.52 | Epsilon: 0.908
Episode 97 | Reward: 10.02 | Avg: 16.52 | Epsilon: 0.907
Episode 98 | Reward: 23.78 | Avg: 16.82 | Epsilon: 0.906
Episode 99 | Reward: 9.71 | Avg: 16.82 | Epsilon: 0.905
Episode 100 | Reward: 10.59 | Avg: 16.83 | Epsilon: 0.904
Episode 101 | Reward: 10.48 | Avg: 16.70 | Epsilon: 0.903
Episode 102 | Reward: 9.04 | Avg: 16.54 | Epsilon: 0.902
Episode 103 | Reward: 11.15 | Avg: 16.43 | Epsilon: 0.901
Episode 104 | Reward: 16.18 | Avg: 16.31 | Epsilon: 0.900
Episode 105 | Reward: 16.10 | Avg: 16.17 | Epsilon: 0.899
Episode 106 | Reward: 10.15 | Avg: 15.58 | Epsilon: 0.898
Episode 107 | Reward: 9.68 | Avg: 15.59 | Epsilon: 0.898
Episode 108 | Reward: 8.95 | Avg: 15.05 | Epsilon: 0.897
Episode 109 | Reward: 10.62 | Avg: 14.82 | Epsilon: 0.896
Episode 110 | Reward: 9.61 | Avg: 13.99 | Epsilon: 0.895
Episode 111 | Reward: 3.36 | Avg: 13.59 | Epsilon: 0.894
Episode 112 | Reward: 8.55 | Avg: 13.55 | Epsilon: 0.893
Episode 113 | Reward: 10.38 | Avg: 13.43 | Epsilon: 0.892
Episode 114 | Reward: 70.18 | Avg: 14.68 | Epsilon: 0.891
Episode 115 | Reward: 48.93 | Avg: 15.48 | Epsilon: 0.890
Episode 116 | Reward: 9.39 | Avg: 15.48 | Epsilon: 0.890
Episode 117 | Reward: 21.79 | Avg: 15.45 | Epsilon: 0.889
Episode 118 | Reward: 10.29 | Avg: 15.35 | Epsilon: 0.888
Episode 119 | Reward: 10.78 | Avg: 15.19 | Epsilon: 0.887
Episode 120 | Reward: 9.76 | Avg: 15.17 | Epsilon: 0.886
Episode 121 | Reward: 9.77 | Avg: 15.17 | Epsilon: 0.885
Episode 122 | Reward: 10.09 | Avg: 15.18 | Epsilon: 0.884
Episode 123 | Reward: 10.51 | Avg: 15.06 | Epsilon: 0.883
Episode 124 | Reward: 10.82 | Avg: 14.95 | Epsilon: 0.882
Episode 125 | Reward: 16.78 | Avg: 15.08 | Epsilon: 0.882
Episode 126 | Reward: 9.64 | Avg: 15.05 | Epsilon: 0.881
Episode 127 | Reward: 10.16 | Avg: 15.04 | Epsilon: 0.880
Episode 128 | Reward: 10.62 | Avg: 14.91 | Epsilon: 0.879
Episode 129 | Reward: 9.95 | Avg: 14.78 | Epsilon: 0.878
Episode 130 | Reward: 9.97 | Avg: 14.51 | Epsilon: 0.877
Episode 131 | Reward: 9.44 | Avg: 14.49 | Epsilon: 0.876
Episode 132 | Reward: 10.54 | Avg: 14.50 | Epsilon: 0.875
Episode 133 | Reward: 14.79 | Avg: 14.60 | Epsilon: 0.875
Episode 134 | Reward: 9.03 | Avg: 14.56 | Epsilon: 0.874
Episode 135 | Reward: 10.07 | Avg: 14.26 | Epsilon: 0.873
Episode 136 | Reward: 10.09 | Avg: 14.24 | Epsilon: 0.872
Episode 137 | Reward: 15.35 | Avg: 14.36 | Epsilon: 0.871
Episode 138 | Reward: 51.01 | Avg: 15.18 | Epsilon: 0.870
Episode 139 | Reward: 17.57 | Avg: 14.34 | Epsilon: 0.869
Episode 140 | Reward: 10.72 | Avg: 14.37 | Epsilon: 0.868
Episode 141 | Reward: 23.36 | Avg: 14.63 | Epsilon: 0.868
Episode 142 | Reward: 10.14 | Avg: 14.52 | Epsilon: 0.867
Episode 143 | Reward: 62.85 | Avg: 15.57 | Epsilon: 0.866
Episode 144 | Reward: 9.50 | Avg: 15.55 | Epsilon: 0.865
Episode 145 | Reward: 9.75 | Avg: 15.37 | Epsilon: 0.864
Episode 146 | Reward: 11.32 | Avg: 15.27 | Epsilon: 0.863
Episode 147 | Reward: 10.06 | Avg: 15.27 | Epsilon: 0.862
Episode 148 | Reward: 17.18 | Avg: 15.14 | Epsilon: 0.862
Episode 149 | Reward: 35.33 | Avg: 15.65 | Epsilon: 0.861
Episode 150 | Reward: 9.09 | Avg: 15.62 | Epsilon: 0.860
Episode 151 | Reward: 10.89 | Avg: 15.63 | Epsilon: 0.859
Traceback (most recent call last):
  File "C:\Users\matt\miniconda3\envs\trackmania\lib\site-packages\wandb\agents\pyagent.py", line 304, in _run_job
    self._function()
  File "C:\Users\matt\Documents\[1] - Code Projects\[0] - College\Autonomous-systems-Portfolio\Portfolio 2\src\sweep.py", line 84, in train
    next_obs, reward, terminated, truncated, info = env.step(ACTIONS[action])
  File "C:\Users\matt\miniconda3\envs\trackmania\lib\site-packages\gymnasium\core.py", line 327, in step
