Network warmed up!
C:\Users\matt\miniconda3\envs\trackmania\lib\site-packages\rtgym\envs\real_time_env.py:261: UserWarning: Time-step timed out. Elapsed since last time-step: 0.17814669999415855
  warnings.warn(f"Time-step timed out. Elapsed since last time-step: {now - self.__t_end}")
Episode 50 | Reward: 109.77 | Avg: 109.62 | Epsilon: 0.950 | Steps: 475
Episode 51 | Reward: 98.31 | Avg: 109.62 | Epsilon: 0.949 | Steps: 224
Episode 52 | Reward: 104.75 | Avg: 109.51 | Epsilon: 0.948 | Steps: 534
Episode 53 | Reward: 116.67 | Avg: 109.67 | Epsilon: 0.947 | Steps: 907
Episode 54 | Reward: 124.58 | Avg: 109.67 | Epsilon: 0.946 | Steps: 833
Episode 55 | Reward: 111.52 | Avg: 109.81 | Epsilon: 0.946 | Steps: 432
Episode 56 | Reward: 98.05 | Avg: 109.58 | Epsilon: 0.945 | Steps: 233
Episode 57 | Reward: 96.98 | Avg: 109.16 | Epsilon: 0.944 | Steps: 92
Episode 58 | Reward: 111.69 | Avg: 109.32 | Epsilon: 0.943 | Steps: 419
Episode 59 | Reward: 125.21 | Avg: 109.50 | Epsilon: 0.942 | Steps: 955
Episode 60 | Reward: 97.22 | Avg: 109.19 | Epsilon: 0.941 | Steps: 104
Episode 61 | Reward: 104.74 | Avg: 108.79 | Epsilon: 0.940 | Steps: 376
Episode 62 | Reward: 105.20 | Avg: 108.40 | Epsilon: 0.939 | Steps: 374
Episode 63 | Reward: 110.33 | Avg: 108.11 | Epsilon: 0.938 | Steps: 408
Episode 64 | Reward: 98.72 | Avg: 107.86 | Epsilon: 0.937 | Steps: 232
Episode 65 | Reward: 99.24 | Avg: 107.87 | Epsilon: 0.936 | Steps: 253
Episode 66 | Reward: 105.29 | Avg: 107.90 | Epsilon: 0.935 | Steps: 359
Episode 67 | Reward: 113.21 | Avg: 107.97 | Epsilon: 0.934 | Steps: 603
Episode 68 | Reward: 104.81 | Avg: 107.82 | Epsilon: 0.933 | Steps: 334
Episode 69 | Reward: 96.61 | Avg: 107.71 | Epsilon: 0.932 | Steps: 98
Episode 70 | Reward: 112.00 | Avg: 107.71 | Epsilon: 0.931 | Steps: 685
Episode 71 | Reward: 102.76 | Avg: 107.58 | Epsilon: 0.930 | Steps: 377
Episode 72 | Reward: 102.42 | Avg: 107.38 | Epsilon: 0.930 | Steps: 306
Episode 73 | Reward: 98.01 | Avg: 107.18 | Epsilon: 0.929 | Steps: 219
Episode 74 | Reward: 110.84 | Avg: 107.46 | Epsilon: 0.928 | Steps: 700
Episode 75 | Reward: 112.41 | Avg: 107.31 | Epsilon: 0.927 | Steps: 471
Episode 76 | Reward: 100.08 | Avg: 107.08 | Epsilon: 0.926 | Steps: 254
Episode 77 | Reward: 101.60 | Avg: 106.70 | Epsilon: 0.925 | Steps: 406
Episode 78 | Reward: 96.10 | Avg: 106.12 | Epsilon: 0.924 | Steps: 87
Episode 79 | Reward: 103.55 | Avg: 106.11 | Epsilon: 0.923 | Steps: 343
Episode 80 | Reward: 107.63 | Avg: 106.06 | Epsilon: 0.922 | Steps: 498
Episode 81 | Reward: 125.07 | Avg: 106.33 | Epsilon: 0.921 | Steps: 1402
Episode 82 | Reward: 100.24 | Avg: 106.09 | Epsilon: 0.920 | Steps: 318
Episode 83 | Reward: 96.39 | Avg: 105.89 | Epsilon: 0.919 | Steps: 126
Episode 84 | Reward: 98.64 | Avg: 105.94 | Epsilon: 0.918 | Steps: 159
Episode 85 | Reward: 105.45 | Avg: 105.94 | Epsilon: 0.918 | Steps: 529
Episode 86 | Reward: 104.86 | Avg: 105.80 | Epsilon: 0.917 | Steps: 486
Episode 87 | Reward: 119.94 | Avg: 105.69 | Epsilon: 0.916 | Steps: 413
Episode 88 | Reward: 100.83 | Avg: 105.60 | Epsilon: 0.915 | Steps: 330
Episode 89 | Reward: 103.81 | Avg: 105.76 | Epsilon: 0.914 | Steps: 328
Episode 90 | Reward: 108.46 | Avg: 105.71 | Epsilon: 0.913 | Steps: 505
Episode 91 | Reward: 105.15 | Avg: 105.57 | Epsilon: 0.912 | Steps: 332
Episode 92 | Reward: 102.80 | Avg: 105.66 | Epsilon: 0.911 | Steps: 357
Episode 93 | Reward: 112.75 | Avg: 105.86 | Epsilon: 0.910 | Steps: 923
Episode 94 | Reward: 100.94 | Avg: 105.60 | Epsilon: 0.909 | Steps: 277
Episode 95 | Reward: 99.68 | Avg: 105.48 | Epsilon: 0.908 | Steps: 168
Episode 96 | Reward: 97.40 | Avg: 105.45 | Epsilon: 0.908 | Steps: 189
