Episode 0, Total Reward: -1.5799962282180786
Episode 1, Total Reward: -1.5799962282180786
Episode 2, Total Reward: -1.5799962282180786
Episode 3, Total Reward: -1.5699964761734009
Episode 4, Total Reward: -1.5799962282180786
Episode 5, Total Reward: -1.5799962282180786
Episode 6, Total Reward: -1.5799962282180786
Episode 7, Total Reward: -1.5799962282180786
Episode 8, Total Reward: -1.5799962282180786
Episode 9, Total Reward: -1.5799962282180786
