Episode 0, Total Reward: -20.130016326904297
Episode 1, Total Reward: -7.630002975463867
Episode 2, Total Reward: -8.5700044631958
Episode 3, Total Reward: -24.799985885620117
Episode 4, Total Reward: -18.450027465820312
Episode 5, Total Reward: -21.140016555786133
Episode 6, Total Reward: -6.309995651245117
Episode 7, Total Reward: -21.770017623901367
Episode 8, Total Reward: -18.140016555786133
Episode 9, Total Reward: -5.149997711181641
