
Starting run: p2-lr5e-06-decay0.997-gamma0.95-tgt50
Network warmed up!
Episode 79 | Reward: 9.57 | Avg: 17.38 | Epsilon: 0.786
Episode 80 | Reward: 10.13 | Avg: 17.37 | Epsilon: 0.784
Episode 81 | Reward: 9.55 | Avg: 17.07 | Epsilon: 0.782
Episode 82 | Reward: 10.50 | Avg: 17.09 | Epsilon: 0.779
Episode 83 | Reward: 10.17 | Avg: 17.09 | Epsilon: 0.777
Episode 84 | Reward: 9.70 | Avg: 17.07 | Epsilon: 0.775
Episode 85 | Reward: 9.44 | Avg: 17.06 | Epsilon: 0.772
Episode 86 | Reward: 9.72 | Avg: 17.09 | Epsilon: 0.770
Episode 87 | Reward: 9.59 | Avg: 16.77 | Epsilon: 0.768
Episode 88 | Reward: 9.59 | Avg: 16.76 | Epsilon: 0.765
Episode 89 | Reward: 9.43 | Avg: 16.75 | Epsilon: 0.763
Episode 90 | Reward: 88.16 | Avg: 16.92 | Epsilon: 0.761
Episode 91 | Reward: 11.15 | Avg: 16.70 | Epsilon: 0.758
Episode 92 | Reward: 10.97 | Avg: 15.14 | Epsilon: 0.756
Episode 93 | Reward: 10.70 | Avg: 15.16 | Epsilon: 0.754
Episode 94 | Reward: 9.41 | Avg: 15.14 | Epsilon: 0.752
Episode 95 | Reward: 11.24 | Avg: 15.06 | Epsilon: 0.749
Episode 96 | Reward: 10.81 | Avg: 15.08 | Epsilon: 0.747
Episode 97 | Reward: 9.84 | Avg: 15.08 | Epsilon: 0.745
Episode 98 | Reward: 17.34 | Avg: 15.21 | Epsilon: 0.743
Episode 99 | Reward: 9.30 | Avg: 15.19 | Epsilon: 0.740
Episode 100 | Reward: 31.80 | Avg: 14.27 | Epsilon: 0.738
Episode 101 | Reward: 9.81 | Avg: 14.11 | Epsilon: 0.736
Episode 102 | Reward: 22.92 | Avg: 14.38 | Epsilon: 0.734
Episode 103 | Reward: 27.60 | Avg: 14.72 | Epsilon: 0.732
Episode 104 | Reward: 10.64 | Avg: 14.48 | Epsilon: 0.729
Episode 105 | Reward: 9.33 | Avg: 14.50 | Epsilon: 0.727
Episode 106 | Reward: 10.06 | Avg: 14.20 | Epsilon: 0.725
Episode 107 | Reward: 9.92 | Avg: 14.20 | Epsilon: 0.723
Episode 108 | Reward: 9.99 | Avg: 14.19 | Epsilon: 0.721
Episode 109 | Reward: 82.61 | Avg: 15.64 | Epsilon: 0.719
Episode 110 | Reward: 8.90 | Avg: 15.61 | Epsilon: 0.716
Episode 111 | Reward: 9.25 | Avg: 15.56 | Epsilon: 0.714
Episode 112 | Reward: 23.25 | Avg: 15.82 | Epsilon: 0.712
Episode 113 | Reward: 8.94 | Avg: 15.80 | Epsilon: 0.710
C:\Users\Wille\anaconda3\envs\trackmania-rl\lib\site-packages\rtgym\envs\real_time_env.py:261: UserWarning: Time-step timed out. Elapsed since last time-step: 0.05154980413499288
  warnings.warn(f"Time-step timed out. Elapsed since last time-step: {now - self.__t_end}")
Episode 114 | Reward: 25.07 | Avg: 16.10 | Epsilon: 0.708
Episode 115 | Reward: 9.50 | Avg: 15.91 | Epsilon: 0.706
