Episode 0, Total Reward: 8.6900053024292
Episode 1, Total Reward: 10.480000495910645
Episode 2, Total Reward: 10.019999504089355
Episode 3, Total Reward: 9.98000431060791
Episode 4, Total Reward: 16.5000057220459
Episode 5, Total Reward: 9.770001411437988
Episode 6, Total Reward: 22.67005157470703
Episode 7, Total Reward: 54.81006622314453
Episode 8, Total Reward: 10.220004081726074
Episode 9, Total Reward: 16.250011444091797
